               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  91,             0.01517,             0.01436,          0.00050381,               0.997,                   1,             0.99408,             0.95038,           0.0092016,           0.0083635,          0.00036775,           0.0041094,           0.0041094,           0.0041094
                  92,            0.014657,            0.014026,          0.00052488,             0.99708,                   1,             0.99372,             0.94702,           0.0089954,            0.008308,          0.00032319,           0.0040201,           0.0040201,           0.0040201
                  93,            0.014388,            0.013917,          0.00046643,             0.99649,             0.99947,             0.99373,             0.94923,           0.0090414,           0.0084799,          0.00035136,           0.0039314,           0.0039314,           0.0039314
                  94,            0.014156,            0.013453,          0.00051481,             0.99708,             0.99836,             0.99403,             0.94209,           0.0093689,           0.0086138,          0.00035691,           0.0038434,           0.0038434,           0.0038434
                  95,            0.014316,            0.013244,          0.00051656,             0.99712,                   1,             0.99366,             0.94175,           0.0090138,           0.0081858,          0.00031355,           0.0037562,           0.0037562,           0.0037562
                  96,            0.014263,            0.014295,          0.00039918,             0.99686,                   1,             0.99315,              0.9474,           0.0089084,           0.0083805,          0.00030013,           0.0036697,           0.0036697,           0.0036697
                  97,             0.01362,            0.013481,          0.00045499,              0.9961,                   1,             0.99347,             0.95473,           0.0085787,           0.0080075,          0.00033524,            0.003584,            0.003584,            0.003584
                  98,            0.013879,            0.013611,          0.00054495,             0.99702,                   1,             0.99347,             0.95214,           0.0088289,           0.0081457,          0.00033275,           0.0034991,           0.0034991,           0.0034991
                  99,            0.013762,            0.013265,          0.00044613,             0.99708,                   1,              0.9938,             0.95473,           0.0085621,           0.0079502,          0.00031041,           0.0034152,           0.0034152,           0.0034152
                 100,            0.013876,            0.013735,          0.00044582,             0.99637,             0.99947,             0.99414,             0.95531,           0.0085767,           0.0079698,          0.00029589,           0.0033321,           0.0033321,           0.0033321
                 101,            0.013726,            0.013475,          0.00042873,             0.99701,                   1,             0.99304,             0.95095,           0.0086538,           0.0080838,           0.0002907,             0.00325,             0.00325,             0.00325
                 102,            0.013486,            0.013017,          0.00043211,             0.99711,                   1,             0.99379,             0.95502,            0.008548,           0.0079065,          0.00028945,           0.0031689,           0.0031689,           0.0031689
                 103,            0.013489,            0.013393,           0.0004517,             0.99709,                   1,             0.99415,             0.95534,           0.0084845,           0.0079662,          0.00031129,           0.0030888,           0.0030888,           0.0030888
                 104,            0.013277,            0.012967,          0.00046391,             0.99702,                   1,             0.99381,             0.95794,           0.0084699,           0.0078637,          0.00029909,           0.0030097,           0.0030097,           0.0030097
                 105,            0.013286,            0.012872,          0.00045287,             0.99702,                   1,             0.99279,             0.95571,           0.0084279,           0.0079923,          0.00027528,           0.0029318,           0.0029318,           0.0029318
                 106,            0.013097,            0.013082,          0.00038762,             0.99711,                   1,             0.99379,             0.95414,           0.0084922,           0.0079899,          0.00026948,            0.002855,            0.002855,            0.002855
                 107,            0.013139,            0.012817,          0.00039088,             0.99645,             0.99947,             0.99372,             0.95649,           0.0084404,            0.007972,          0.00027171,           0.0027793,           0.0027793,           0.0027793
                 108,            0.012794,            0.012189,          0.00042874,               0.997,                   1,             0.99416,              0.9589,           0.0084232,           0.0077971,          0.00025783,           0.0027048,           0.0027048,           0.0027048
                 109,            0.013294,            0.012565,          0.00043577,             0.99702,                   1,             0.99418,             0.95877,           0.0083249,           0.0077632,           0.0002458,           0.0026316,           0.0026316,           0.0026316
                 110,            0.013138,            0.012838,          0.00037655,             0.99705,                   1,             0.99393,             0.95988,           0.0082916,           0.0077707,          0.00023982,           0.0025596,           0.0025596,           0.0025596
                 111,            0.012922,            0.012537,           0.0003776,             0.99691,                   1,              0.9931,             0.95848,           0.0083457,           0.0078371,          0.00024423,           0.0024889,           0.0024889,           0.0024889
                 112,            0.012306,            0.012139,          0.00037424,             0.99688,                   1,             0.99355,             0.95985,            0.008277,           0.0076048,          0.00023961,           0.0024195,           0.0024195,           0.0024195
                 113,             0.01289,            0.012603,          0.00039341,             0.99695,                   1,             0.99405,              0.9625,           0.0082572,            0.007654,          0.00022985,           0.0023515,           0.0023515,           0.0023515
                 114,            0.012691,            0.012254,          0.00036342,             0.99703,                   1,             0.99401,             0.96109,           0.0082412,           0.0076667,          0.00022249,           0.0022849,           0.0022849,           0.0022849
                 115,             0.01263,            0.012658,          0.00034101,             0.99693,                   1,             0.99377,             0.96064,           0.0081881,            0.007817,          0.00021259,           0.0022196,           0.0022196,           0.0022196
                 116,            0.012869,            0.012394,          0.00038486,             0.99703,                   1,             0.99366,             0.96275,            0.008266,           0.0077544,          0.00021194,           0.0021558,           0.0021558,           0.0021558
                 117,            0.012626,            0.011991,          0.00028715,             0.99691,                   1,             0.99349,             0.95959,           0.0082479,           0.0076975,          0.00020956,           0.0020935,           0.0020935,           0.0020935
                 118,             0.01246,            0.012451,          0.00038212,             0.99702,             0.99946,             0.99367,             0.96315,           0.0081906,           0.0077625,          0.00020553,           0.0020327,           0.0020327,           0.0020327
                 119,            0.012506,            0.011986,          0.00033166,             0.99695,                   1,             0.99378,             0.95875,           0.0082732,           0.0078373,           0.0002075,           0.0019734,           0.0019734,           0.0019734
