               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  78,            0.027285,            0.013164,          0.00075323,             0.99698,             0.99295,             0.99494,             0.88045,             0.02436,           0.0094103,          0.00057348,            0.004918,            0.004918,            0.004918
                  79,             0.02717,            0.013358,          0.00071448,             0.99791,             0.99647,             0.99499,              0.8788,            0.024345,           0.0093274,          0.00048677,            0.004852,            0.004852,            0.004852
                  80,            0.026726,            0.013279,          0.00065199,             0.99649,              0.9985,             0.99493,             0.88977,            0.024049,           0.0092857,          0.00049031,            0.004786,            0.004786,            0.004786
                  81,            0.026437,             0.01319,          0.00074735,             0.99549,             0.99469,             0.99489,             0.88692,            0.024447,           0.0092505,          0.00065024,             0.00472,             0.00472,             0.00472
                  82,            0.025775,            0.012975,          0.00073636,             0.98804,             0.99194,             0.99475,             0.88217,            0.024387,           0.0093544,          0.00083804,            0.004654,            0.004654,            0.004654
                  83,            0.026575,             0.01337,          0.00076282,             0.99595,             0.99248,             0.99479,             0.89165,            0.024121,           0.0092453,          0.00052264,            0.004588,            0.004588,            0.004588
                  84,            0.026566,            0.012651,          0.00077038,               0.997,             0.99812,             0.99489,             0.88303,            0.024366,           0.0092899,          0.00048678,            0.004522,            0.004522,            0.004522
                  85,            0.026003,            0.012728,          0.00066691,             0.99546,             0.99311,              0.9949,             0.88353,            0.024441,           0.0092703,          0.00065631,            0.004456,            0.004456,            0.004456
                  86,            0.026346,            0.013018,          0.00074947,             0.99278,             0.99497,             0.99478,             0.88658,            0.024129,           0.0092467,          0.00060557,             0.00439,             0.00439,             0.00439
                  87,            0.026785,            0.013175,          0.00084425,             0.99654,              0.9985,             0.99498,             0.88841,            0.023925,            0.009076,          0.00049454,            0.004324,            0.004324,            0.004324
                  88,             0.02615,             0.01304,          0.00074419,             0.99445,             0.99695,             0.99492,             0.89212,            0.024004,           0.0090514,          0.00053896,            0.004258,            0.004258,            0.004258
                  89,             0.02561,            0.012478,          0.00069952,             0.99709,             0.99599,             0.99496,             0.89402,            0.023824,           0.0089265,           0.0004686,            0.004192,            0.004192,            0.004192
                  90,            0.025506,            0.012452,          0.00063738,              0.9953,             0.99649,             0.99494,             0.89645,            0.023826,           0.0089288,          0.00046754,            0.004126,            0.004126,            0.004126
                  91,            0.025517,            0.012637,          0.00065042,               0.996,             0.99838,             0.99492,             0.89543,            0.023581,           0.0088861,          0.00046209,             0.00406,             0.00406,             0.00406
                  92,            0.025249,            0.012772,          0.00062973,             0.99749,             0.99607,             0.99498,             0.89589,            0.023528,           0.0087925,          0.00043557,            0.003994,            0.003994,            0.003994
                  93,            0.025083,            0.012328,           0.0006362,              0.9974,             0.99799,             0.99496,             0.89533,            0.023568,           0.0088434,          0.00046067,            0.003928,            0.003928,            0.003928
                  94,             0.02604,            0.012332,           0.0006272,             0.99746,             0.99499,             0.99491,             0.89369,            0.023593,           0.0089579,          0.00055212,            0.003862,            0.003862,            0.003862
